Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,139586,0.004992,141192,0.003802,141077,0.006370,141377,0.005672,142437,0.002610,143941,0.006295,144241,0.011674,144478,0.004212,141517,0.003515,138254,0.005275,141810,0.005500,138254,144478
--first,--transpose,--srz,127786,0.007059,127786,0.007029,127786,0.008054,127786,0.008314,127786,0.007324,127786,0.006989,127786,0.006211,127786,0.005908,127786,0.006420,127786,0.007085,127786,0.006900,127786,127786
--first,--exchange,--random-init,124943,0.236763,126080,0.326718,126114,0.299730,126500,0.294088,126724,0.246676,127548,0.205695,125788,0.240977,126988,0.279846,125551,0.279635,127636,0.145654,126387,0.255800,124943,127636
--first,--exchange,--srz,126146,0.055477,126146,0.057267,126146,0.056687,126146,0.060026,126146,0.065012,126146,0.066710,126146,0.061466,126146,0.059978,126146,0.057775,126146,0.056408,126146,0.059600,126146,126146
--first,--insert,--random-init,128414,0.112597,138391,0.026720,134718,0.077525,137050,0.032912,134755,0.040094,131735,0.089233,132708,0.075304,136983,0.049206,139752,0.030049,138239,0.018212,135274,0.055200,128414,139752
--first,--insert,--srz,126749,0.075662,126749,0.066742,126749,0.069569,126749,0.071639,126749,0.080280,126749,0.082604,126749,0.078066,126749,0.073895,126749,0.074201,126749,0.074318,126749,0.074800,126749,126749
--best,--transpose,--random-init,141006,0.009873,143543,0.007754,145731,0.011778,141914,0.013258,139241,0.009806,146242,0.005632,143110,0.006179,143451,0.013469,137485,0.013026,145453,0.004697,142717,0.009600,137485,146242
--best,--transpose,--srz,127915,0.008623,127915,0.009995,127915,0.007605,127915,0.008441,127915,0.008135,127915,0.008474,127915,0.007833,127915,0.007953,127915,0.007846,127915,0.007719,127915,0.008300,127915,127915
--best,--exchange,--random-init,139420,0.036411,140410,0.033262,145715,0.031887,144017,0.011425,142235,0.019565,147409,0.037686,142408,0.055953,130680,0.125646,142555,0.023657,144388,0.035900,141923,0.041200,130680,147409
--best,--exchange,--srz,127192,0.020439,127192,0.020066,127192,0.020765,127192,0.018866,127192,0.019019,127192,0.018744,127192,0.020073,127192,0.019629,127192,0.020718,127192,0.017438,127192,0.019600,127192,127192
--best,--insert,--random-init,140879,0.061873,150779,0.068584,149976,0.047830,145196,0.038705,142708,0.080031,144672,0.114475,140528,0.055540,147299,0.034012,148177,0.083763,143362,0.104745,145357,0.069100,140528,150779
--best,--insert,--srz,128232,0.041438,128232,0.045157,128232,0.041929,128232,0.042156,128232,0.043877,128232,0.044463,128232,0.043204,128232,0.042409,128232,0.042241,128232,0.043836,128232,0.042900,128232,128232
