Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,449250,0
Iterative_algo,1,1,2,396566,0
Iterative_algo,1,2,1,382845,6
Iterative_algo,1,2,2,389063,2
Iterative_algo,1,3,1,394104,6
Iterative_algo,1,3,2,392325,1
Iterative_algo,2,1,1,430288,0
Iterative_algo,2,1,2,396566,0
Iterative_algo,2,2,1,392948,54
Iterative_algo,2,2,2,390354,4
Iterative_algo,2,3,1,400202,41
Iterative_algo,2,3,2,393582,2
VND1,1,0,1,384132,5
VND1,1,0,2,387329,2
VND1,2,0,1,393031,22
VND1,2,0,2,387659,7
VND2,1,0,1,387945,7
VND2,1,0,2,393657,1
VND2,2,0,1,394413,26
VND2,2,0,2,390489,4
