Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,458654,0
Iterative_algo,1,1,2,404569,0
Iterative_algo,1,2,1,389646,7
Iterative_algo,1,2,2,394218,2
Iterative_algo,1,3,1,403006,6
Iterative_algo,1,3,2,399354,1
Iterative_algo,2,1,1,450666,1
Iterative_algo,2,1,2,404172,0
Iterative_algo,2,2,1,398110,38
Iterative_algo,2,2,2,395818,6
Iterative_algo,2,3,1,402144,35
Iterative_algo,2,3,2,400920,4
VND1,1,0,1,388580,7
VND1,1,0,2,391649,4
VND1,2,0,1,403074,25
VND1,2,0,2,394694,5
VND2,1,0,1,398179,6
VND2,1,0,2,398326,1
VND2,2,0,1,400494,19
VND2,2,0,2,397038,6
